participant,internalspeed,externalspeed,boundX_mean,boundX_sd,boundY_mean,boundY_sd,initialdirection_mean,initialdirection_sd,arrowdirection_mean,arrowdirection_sd,direction,slope
8,4,4,0.218047982551799,0.0929619087139139,0.714340239912759,0.0495394054102868,12.1265035949782,9.42893801768937,9.42893801768937,9.42893801768937,1.3591489123076,4.6540784749093
9,4,4,0.0643710587454364,0.0303360599738751,0.173099900431464,0.105096933402169,22.4704595200742,11.9239277469144,11.9239277469144,11.9239277469144,1.1786128237335,2.41773854143863
10,4,4,0.201022900763359,0.0900403926217496,0.252274809160305,0.0881336802679651,41.9071049400752,9.45685068025419,9.45685068025419,9.45685068025419,0.839379365611804,1.11424021429296
11,4,4,0.10299316994777,0.0789158238595743,0.303736440337485,0.121315724925111,17.3550550943072,12.7163767676552,12.7163767676552,12.7163767676552,1.26789347353422,3.19979786151806
2,2,3,0.0694069289489137,0.050737248195513,0.510980622431004,0.298619595809666,12.2863235929066,6.68998824766735,6.68998824766735,6.68998824766735,1.35635952713322,4.5916796621789
3,2,3,0.0770447110141767,0.0471757191150157,0.425299890948746,0.222960854106081,15.7622353046246,8.26616791237132,8.26616791237132,8.26616791237132,1.29569342325511,3.5428364374891
4,2,3,0.131137002812374,0.0712927328193302,0.402169546002411,0.160257124125938,17.7891221268797,14.5346674870987,14.5346674870987,14.5346674870987,1.26031757464147,3.11666814425749
5,2,3,0.133740458015267,0.0592758922898777,0.315521628498728,0.171332488753846,27.1653884576898,16.1181650955904,16.1181650955904,16.1181650955904,1.09667085562494,1.94868417158211
6,2,3,0.105642217059409,0.0381991469432837,0.282841022236973,0.0867939784453775,26.2979719982468,12.3011502865655,12.3011502865655,12.3011502865655,1.11181012882822,2.02352655949991
8,2,3,0.115935114503817,0.077394485727392,0.901399491094147,0.250169557183769,8.25412722650587,6.22426878517914,6.22426878517914,6.22426878517914,1.42673462981386,6.89338322495787
9,2,3,0.0711832061068702,0.0486310678238061,0.208460559796438,0.156097625851162,22.3178453325844,7.55662244786271,7.55662244786271,7.55662244786271,1.18127644379045,2.43609047376129
10,2,3,0.18043893129771,0.0511663654132785,0.425826972010178,0.133233072600629,36.4144041120974,8.0162167903656,8.0162167903656,8.0162167903656,0.935245079887034,1.35565334120057
11,2,3,0.07735368956743,0.0484653927581757,0.399151823579304,0.192619352534052,17.8745533128053,7.03132770971372,7.03132770971372,7.03132770971372,1.25882651916318,3.10076742284298
2,3,3,0.0985773768216515,0.0339536333758934,0.658154059680777,0.223775815110161,17.502926417645,7.01903053566007,7.01903053566007,7.01903053566007,1.2653126320727,3.17103004783695
3,3,3,0.0687786259541985,0.0450728569070327,0.430534351145038,0.294355172214608,18.7457191076864,8.57525006495607,8.57525006495607,8.57525006495607,1.24362180771175,2.94662828858019
4,3,3,0.144656488549618,0.0653026554160091,0.396074154852781,0.176855960461582,21.7784460065148,18.1943542226529,18.1943542226529,18.1943542226529,1.1906907380134,2.50290862991688
5,3,3,0.13162213740458,0.0985702721083549,0.330076335877863,0.185187226067924,28.7379033429577,28.7495848708165,28.7495848708165,28.7495848708165,1.0692252933404,1.82367224361192
6,3,3,0.118368320610687,0.0274826013837665,0.251081424936387,0.0646039131944953,33.8938489133643,8.62418169936531,8.62418169936531,8.62418169936531,0.979237067083187,1.48850215978112
8,3,3,0.119847328244275,0.0872900315787729,0.816666666666667,0.290319090748433,11.7113283904469,7.3556687181356,7.3556687181356,7.3556687181356,1.36639508659931,4.82401394222661
9,3,3,0.0652173913043478,0.0193781299707024,0.174842349817458,0.0631328288263651,22.0422232312648,7.44741999059358,7.44741999059358,7.44741999059358,1.18608695694974,2.4698449784637
10,3,3,0.198041818785264,0.0894686348829386,0.429405907733156,0.137167825478326,35.6206905620159,17.6661581654651,17.6661581654651,17.6661581654651,0.94909799465365,1.39572009367251
11,3,3,0.0829198473282442,0.0737436556692218,0.446946564885496,0.19654120175599,13.4932972819384,13.3669090047034,13.3669090047034,13.3669090047034,1.33529386227467,4.16744744966741
2,4,3,0.12337786259542,0.0587887923019568,0.557633587786259,0.210210894280144,22.8107477714708,8.51310965830716,8.51310965830716,8.51310965830716,1.17267367334077,2.37765739351379
3,4,3,0.0816593009240659,0.059674022506618,0.4544797107272,0.270119274755199,19.9408854924766,11.3236776125497,11.3236776125497,11.3236776125497,1.22276221918801,2.75632248523595
4,4,3,0.169664785927647,0.075483080769309,0.466777298373714,0.175924709303385,17.7686704595214,23.8954497383915,23.8954497383915,23.8954497383915,1.26067452357439,3.12049661890659
5,4,3,0.135642982971227,0.0750380350275308,0.312742219612449,0.214328386381104,10.2302945548681,30.5905853951095,30.5905853951095,30.5905853951095,1.3922440033636,5.54095487674623
6,4,3,0.145038167938931,0.0360446582205638,0.234923664122137,0.0641305330112939,38.6098096313092,12.5713113781985,12.5713113781985,12.5713113781985,0.896928025160333,1.25223858392651
8,4,3,0.157299618320611,0.0534586478401242,0.994465648854962,0.0818954225801403,9.24402903025004,7.514309823499,7.514309823499,7.514309823499,1.4094575840671,6.14426614908305
9,4,3,0.0794556920013275,0.0405710603285898,0.219117158977763,0.12189329314866,26.6604441837615,9.98521140987121,9.98521140987121,9.98521140987121,1.10548379574409,1.99170300976762
10,4,3,0.167374709591769,0.0837684387525925,0.445668768669101,0.141138947037324,25.1298882218808,22.502274811632,22.502274811632,22.502274811632,1.13219703666493,2.13187570535536
11,4,3,0.0792718731650029,0.0564081989517848,0.370287727539636,0.147464129854338,16.8405140871414,9.9179861257099,9.9179861257099,9.9179861257099,1.27687390824579,3.3037152497619
